role,features
Software Engineer,"Git, Agile, Linux, Java, Python"
Cloud Engineer,"Terraform, AWS, Cloud Architecture, Azure"
Product Manager,"Analytics, Agile, Scrum"
Architect,"Blueprints, AutoCAD, Building Codes, 3D Modeling"
Teacher,"Communication, Lesson Planning, Student Assessment, Classroom Management, Subject Knowledge"
Army Personnel,"Combat Training, Discipline, First Aid"
Doctor,"Prescribing, Patient Care, Diagnosis"
Sales Executive,"Target Achievement, CRM, Negotiation, Lead Generation"
Software Engineer,"C++, OOP, Linux, Agile"
Sales Executive,"Target Achievement, Lead Generation, CRM, Negotiation, Product Knowledge"
Architect,"Building Codes, Blueprints, 3D Modeling, AutoCAD"
Army Personnel,"Discipline, Combat Training, Survival Skills"
Machine Learning Engineer,"Scikit-learn, Python, ML algorithms, PyTorch, NLP, TensorFlow"
Army Personnel,"Discipline, Survival Skills, Strategy"
Lawyer,"Legal Research, Criminal Law, Court Procedures, Civil Law, Drafting, Advocacy"
Army Personnel,"Discipline, Combat Training, Survival Skills, Strategy"
Mechanical Engineer,"Material Science, Maintenance, SolidWorks, Thermodynamics, CAD"
HR Manager,"Payroll, Recruitment, Training, Employee Relations, Compliance"
Web Developer,"Node.js, JavaScript, Express, CSS, HTML"
Journalist,"Editing, Writing, Research, Interviewing, Reporting"
Cybersecurity Analyst,"Networking, IDS/IPS, Firewalls, Ethical Hacking"
Plumber,"Sanitation, Pipe Fitting, Blueprint Reading, Water Systems"
Journalist,"Interviewing, Writing, Research, Reporting, Editing"
Nurse,"IV Insertion, Emergency Response, Medical Records, First Aid"
Electrician,"Wiring, Safety Compliance, Installation"
Nurse,"First Aid, IV Insertion, Patient Monitoring, Emergency Response, Medical Records"
Nurse,"Patient Monitoring, Emergency Response, First Aid, Medical Records"
Professor,"Grading, Teaching, Academic Writing, Research"
Civil Engineer,"Project Management, Site Supervision, Structural Design"
Mobile App Developer,"Kotlin, Android Studio, Swift, Flutter, Java"
Business Analyst,"UML, Data Modeling, Requirement Gathering, Power BI"
Data Scientist,"NumPy, SQL, Pandas, Scikit-learn, Matplotlib, Python"
Journalist,"Writing, Reporting, Research, Editing, Interviewing"
Electrician,"Safety Compliance, Troubleshooting, Circuit Design, Installation, Wiring"
Plumber,"Repair, Pipe Fitting, Blueprint Reading, Sanitation, Water Systems"
Machine Learning Engineer,"Keras, TensorFlow, Python, ML algorithms, Scikit-learn"
Teacher,"Subject Knowledge, Classroom Management, Lesson Planning, Student Assessment"
Machine Learning Engineer,"Keras, NLP, Python, ML algorithms"
Army Personnel,"Survival Skills, Strategy, Combat Training"
Doctor,"Diagnosis, Surgery, Physiology, Prescribing, Anatomy"
Mobile App Developer,"Flutter, React Native, Kotlin, Java"
AI Researcher,"Mathematics, Research, Deep Learning"
Journalist,"Research, Interviewing, Editing, Writing, Reporting"
Architect,"Building Codes, AutoCAD, Design, 3D Modeling, Blueprints"
Product Manager,"Scrum, Customer Research, Agile, Roadmaps"
UI/UX Designer,"Figma, Design Systems, Wireframing, Prototyping, User Research, Adobe XD"
Data Scientist,"Pandas, Scikit-learn, Python, Jupyter, NumPy, Matplotlib"
Doctor,"Physiology, Patient Care, Diagnosis, Prescribing, Anatomy, Surgery"
HR Manager,"Training, Compliance, Recruitment, Payroll, Employee Relations"
Architect,"3D Modeling, Design, Blueprints, AutoCAD, Building Codes"
HR Manager,"Employee Relations, Payroll, Compliance, Recruitment"
Journalist,"Interviewing, Research, Reporting, Writing, Editing"
Cloud Engineer,"Cloud Architecture, GCP, Linux, Networking, AWS"
Product Manager,"Customer Research, Scrum, Roadmaps, Analytics, Agile"
Lawyer,"Court Procedures, Drafting, Civil Law, Legal Research, Advocacy, Criminal Law"
Product Manager,"Wireframing, Agile, Analytics, Roadmaps, Scrum, Customer Research"
Data Scientist,"NumPy, Pandas, Jupyter, SQL, Scikit-learn"
Electrician,"Wiring, Troubleshooting, Circuit Design, Installation, Safety Compliance"
Army Personnel,"Discipline, First Aid, Survival Skills, Combat Training, Strategy"
Police Officer,"Traffic Control, Physical Fitness, Law Enforcement"
Cloud Engineer,"Linux, Networking, Terraform, GCP, Cloud Architecture, Azure"
Nurse,"First Aid, Medical Records, Emergency Response, IV Insertion, Patient Monitoring"
Machine Learning Engineer,"ML algorithms, Keras, PyTorch, Python, Scikit-learn"
Business Analyst,"Data Modeling, UML, Requirement Gathering"
Police Officer,"Physical Fitness, Investigation, Traffic Control, Firearms Training, Law Enforcement"
